PopulationID,arrestdate,verdictdate,jailed
3333,2003-09-10,2003-12-17,0
3334,2004-11-02,2005-01-28,0
3341,2010-03-31,2011-01-03,1
3341,2010-03-17,2013-12-16,1
3343,2007-03-11,2007-05-13,0
3346,2001-08-21,2001-11-21,0
3353,2005-05-31,2005-06-07,0
3353,2006-05-15,2006-05-25,0
3357,2010-02-06,2012-02-17,0
3357,2013-12-21,2014-05-09,0
3363,2007-07-16,2007-09-20,0
3373,2007-11-26,2007-11-27,0
3375,2001-02-15,2001-03-24,0
3380,2007-04-19,2007-04-28,0
3381,2010-02-25,2010-03-29,0
3382,2001-06-14,2001-08-08,0
3383,2012-10-27,2013-08-31,0
3385,2004-11-13,2005-03-05,0
3386,2006-07-11,2006-07-23,0
3391,2004-02-21,2004-04-10,0
3392,2008-10-22,2008-10-31,0
3395,2010-12-05,2011-02-27,0
3395,2010-12-08,2013-07-26,1
3397,2001-12-01,2002-02-10,0
3400,2006-05-22,2006-07-17,0
3402,2010-03-13,2010-12-16,1
3402,2012-02-29,2012-06-27,0
3402,2013-10-06,2013-12-22,1
3406,2005-05-17,2005-09-06,0
3406,2005-05-20,2006-04-20,0
3412,2005-07-06,2005-08-31,0
3413,2007-02-05,2007-04-25,0
3424,2007-05-17,2007-09-03,0
3430,2009-04-04,2009-04-12,0
3435,2008-07-02,2008-09-09,0
3437,2002-10-25,2002-10-30,0
3439,2011-09-01,2012-04-28,0
3439,2011-07-11,2012-05-03,0
3440,2008-01-05,2009-07-17,0
3443,2013-01-29,2013-06-23,0
3448,2000-10-21,2000-10-30,0
3450,2010-07-10,2010-09-23,0
3451,2004-07-13,2004-08-16,0
3453,2001-08-25,2001-11-19,0
3455,2002-06-03,2002-08-26,0
3458,2003-09-01,2005-06-15,0
3458,2006-02-11,2006-10-05,0
3461,2010-11-28,2011-03-04,0
3469,2006-11-27,2006-12-09,0
3480,2006-02-02,2006-03-15,0
3486,2010-07-03,2010-09-07,0
3492,2006-06-03,2006-06-17,0
3496,2009-12-11,2010-02-06,0
3503,2006-11-25,2007-02-06,0
3504,2011-11-22,2011-12-05,0
3504,2012-03-15,2012-09-21,1
3504,2012-03-22,2013-02-28,1
3504,2012-03-17,2014-01-21,1
3505,2006-08-16,2006-12-12,0
3508,2007-05-01,2007-07-21,0
3525,2008-04-09,2008-04-23,0
3526,2008-10-27,2008-11-09,0
3527,2005-07-29,2005-08-26,0
3528,2006-02-01,2006-05-08,0
3532,2008-11-01,2009-05-25,0
3532,2010-04-30,2011-04-12,0
3532,2011-12-13,2012-12-21,1
3548,2007-12-14,2008-01-29,0
3549,2002-05-18,2002-06-01,0
3552,2007-03-12,2007-05-06,0
3555,2009-02-24,2009-05-17,0
3555,2014-12-23,2015-04-23,0
3556,2005-08-27,2005-10-30,0
3558,2009-12-02,2010-03-22,0
3559,2006-05-26,2006-07-28,0
3559,2014-07-20,2015-06-02,0
3563,2005-08-08,2005-08-18,0
3564,2009-07-11,2009-07-22,0
3575,2008-03-09,2008-04-30,0
3579,2006-06-22,2006-06-24,0
3582,2003-04-07,2003-06-23,0
3585,2006-12-25,2007-01-30,0
3590,2008-12-08,2009-02-01,0
3594,2004-11-03,2005-01-12,0
3603,2002-09-21,2003-04-11,0
3607,2007-10-21,2008-06-01,1
3617,2000-04-13,2000-07-12,0
3620,2004-02-02,2004-03-15,0
3623,2014-01-10,2014-03-12,0
3624,2006-02-26,2006-03-04,0
3632,2005-07-25,2005-10-14,0
3635,2009-06-05,2009-10-01,1
3640,2006-10-17,2006-10-31,0
3642,2010-04-04,2010-11-03,0
3642,2013-04-27,2013-09-29,0
3643,2003-06-20,2004-02-12,0
3648,2003-07-07,2003-10-13,0
3649,2010-05-04,2010-05-19,0
3654,2004-11-22,2005-05-14,0
3657,2010-09-25,2010-12-14,0
3659,2002-01-04,2002-04-28,0
3659,2002-05-18,2002-10-07,0
3660,2002-06-02,2002-08-25,0
3662,2008-02-28,2008-04-08,0
3662,2010-02-24,2010-03-31,0
3665,2008-11-09,2009-01-31,0
3669,2009-08-18,2009-10-05,0
3672,2007-05-22,2007-06-02,0
3679,2008-10-22,2008-12-10,0
3679,2008-11-07,2009-11-13,0
3679,2011-08-15,2011-10-29,0
3686,2008-07-23,2008-09-02,0
3686,2013-08-16,2013-09-21,0
3688,2001-09-16,2001-11-10,0
3693,2009-09-21,2009-10-03,0
3694,2012-02-18,2012-06-23,0
3695,2007-05-18,2007-05-31,0
3699,2008-06-04,2008-08-23,0
3701,2009-03-27,2010-08-24,0
3703,2004-08-27,2004-10-06,0
3708,2006-01-30,2006-03-10,0
3712,2004-12-21,2005-03-14,0
3713,2007-11-22,2008-09-06,0
3717,2008-06-14,2008-07-06,0
3721,2008-02-10,2008-04-19,0
3721,2012-11-24,2012-12-12,0
3721,2013-04-19,2013-05-26,0
3721,2013-06-23,2013-08-21,0
3727,2006-06-03,2006-06-07,0
3731,2006-01-26,2006-02-09,0
3733,2010-01-03,2010-01-17,0
3739,2004-07-13,2004-08-31,0
3739,2009-05-23,2009-08-18,0
3741,2009-09-04,2009-09-16,0
3745,2008-10-07,2008-12-18,0
3749,2001-10-19,2001-12-28,0
3753,2004-07-28,2005-03-16,0
3757,2005-08-11,2005-11-02,0
3762,2014-07-01,2014-11-10,1
3762,2014-06-25,2015-03-23,1
3765,2000-12-21,2001-02-05,0
3768,2009-07-22,2009-08-14,0
3773,2001-03-09,2001-05-10,0
3775,2008-03-31,2008-04-10,0
3777,2002-08-08,2002-08-16,0
3777,2003-02-04,2003-03-09,0
3777,2003-02-04,2003-12-21,0
